artwork_id,catalog_title,catalog_artist,object_type,source_provider,source_page,source_identifier,source_filename,local_cached_asset_path,rights_status,license,match_method,wikidata_label,wikidata_inventory,wikidata_p18,wikidata_louvre_linked,identity_evidence,identity_status,token_overlap,title_overlap
cl010065720,"Le Couronnement de l'empereur Napoléon Ier et de l'impératrice Joséphine dans la cathédrale Notre-Dame de Paris, le 2 décembre 1804.","David, Jacques-Louis",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Le_Sacre_de_Napol%C3%A9on_-_Jacques-Louis_David_-_Mus%C3%A9e_du_Louvre_Peintures_INV_3699_;_MR_1437.jpg,Q1231009,Le_Sacre_de_Napoléon_-_Jacques-Louis_David_-_Musée_du_Louvre_Peintures_INV_3699_;_MR_1437.jpg,exports\louvre\recognition_assets\cache\cl010065720.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,The Coronation of Napoleon,INV 3699;MR 1437,Le Sacre de Napoléon - Jacques-Louis David - Musée du Louvre Peintures INV 3699 ; MR 1437.jpg,False,insufficient strong identity evidence,UNRESOLVED,0.2,0.0417
cl010327133,Paon : élément d'automate,Abd al-Malik al-Nasrani,,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Spagna,_acquamanile_a_forma_di_pavone_reale,_972,_lega_di_rame,.JPG",Q122445884,"Spagna,_acquamanile_a_forma_di_pavone_reale,_972,_lega_di_rame,.JPG",exports\louvre\recognition_assets\cache\cl010327133.jpg,APPROVED,CC BY-SA 3.0,wikidata_p217_inventory_exact,"Paon, élément d'automate",MR 1569,"Spagna, acquamanile a forma di pavone reale, 972, lega di rame,.JPG",False,insufficient strong identity evidence,UNRESOLVED,0.1667,0.2727
cl010329191,Bassin au nom du sultan al-'Adil II Abu Bakr,Ahmad ibn 'Umar al-Dhaki al-Mawsili,,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Bassin_au_nom_du_sultan_al-%27Adil_II_Ab%C3%BB_Bakr_-_Ahmad_ibn_%27Umar_al-Dhaki_al-Mawsili_-_Mus%C3%A9e_du_Louvre_Arts_de_l%27Islam_OA_5991.jpg,Q122421866,Bassin_au_nom_du_sultan_al-'Adil_II_Abû_Bakr_-_Ahmad_ibn_'Umar_al-Dhaki_al-Mawsili_-_Musée_du_Louvre_Arts_de_l'Islam_OA_5991.jpg,exports\louvre\recognition_assets\cache\cl010329191.jpg,APPROVED,CC0,wikidata_p217_inventory_exact,Basin with the name of  Sultan al-'Adil II Abû Bakr,OA 5991,Bassin au nom du sultan al-'Adil II Abû Bakr - Ahmad ibn 'Umar al-Dhaki al-Mawsili - Musée du Louvre Arts de l'Islam OA 5991.jpg,False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.65,0.3333
cl010063515,L'Amour et Psyché,"Picot, François Édouard",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Fran%C3%A7ois-%C3%A9douard_picot,_amore_e_psiche,_1817,_01.jpg",Q29842284,"François-édouard_picot,_amore_e_psiche,_1817,_01.jpg",exports\louvre\recognition_assets\cache\cl010063515.jpg,APPROVED,CC BY 3.0,wikidata_p217_inventory_exact,Amor and Psyche,RF 2608,"François-édouard picot, amore e psiche, 1817, 01.jpg",False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.3333,0.1111
cl010315397,Plat à inscription rayonnante,,,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Dish_epigraphic_Louvre_AA96.jpg,Q15934374,Dish_epigraphic_Louvre_AA96.jpg,exports\louvre\recognition_assets\cache\cl010315397.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Samanid pottery,AA 96,Dish epigraphic Louvre AA96.jpg,False,old P217 match lacks Louvre collection/location constraint; source title/filename/attribution disagree with catalog identity,QUARANTINED_MISMATCH,0.0,0.0
cl010327142,Aiguière à décor d'oiseaux affrontés et inscription coufique,,,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Ewer_birds_Louvre_MR333.jpg,Q2827905,Ewer_birds_Louvre_MR333.jpg,exports\louvre\recognition_assets\cache\cl010327142.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Ewer with birds,MR 333,Ewer birds Louvre MR333.jpg,False,old P217 match lacks Louvre collection/location constraint; source title/filename/attribution disagree with catalog identity,QUARANTINED_MISMATCH,0.0,0.0
cl010329343,Chandelier aux canards,,,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Iran,_khorasan,_candeliere_monumentale_con_anatre,_1150-1200_ca,_rame_01.JPG",Q97172954,"Iran,_khorasan,_candeliere_monumentale_con_anatre,_1150-1200_ca,_rame_01.JPG",exports\louvre\recognition_assets\cache\cl010329343.jpg,APPROVED,CC BY 3.0,wikidata_p217_inventory_exact,Duck candlestick,OA 6315,"Iran, khorasan, candeliere monumentale con anatre, 1150-1200 ca, rame 01.JPG",False,old P217 match lacks Louvre collection/location constraint; source title/filename/attribution disagree with catalog identity,QUARANTINED_MISMATCH,0.0,0.0
cl010333267,Porche d'une demeure mamlouke au Caire (Qasr Rumi),,,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Porche_d%27une_demeure_mamlouke_au_Caire_-_Mus%C3%A9e_du_Louvre_Arts_de_l%27Islam_-_Arts_d%C3%A9coratifs_AD_RI_2003_26_1.jpg,Q14549112,Porche_d'une_demeure_mamlouke_au_Caire_-_Musée_du_Louvre_Arts_de_l'Islam_-_Arts_décoratifs_AD_RI_2003_26_1.jpg,exports\louvre\recognition_assets\cache\cl010333267.jpg,APPROVED,CC0,wikidata_p217_inventory_exact,Porche Mamlouk,AD RI 2003/26 -1;UCAD RI 2003/26 -1,Porche d'une demeure mamlouke au Caire - Musée du Louvre Arts de l'Islam - Arts décoratifs AD RI 2003 26 1.jpg,False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.4,0.3077
cl010059215,"Portrait de Juliette Récamier, née Bernard (1777-1849)","David, Jacques-Louis",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Juliette_R%C3%A9camier,_n%C3%A9e_Bernard_-_Jacques-Louis_David_-_Mus%C3%A9e_duLouvre_Peintures_INV_3708.jpg",Q2619037,"Juliette_Récamier,_née_Bernard_-_Jacques-Louis_David_-_Musée_duLouvre_Peintures_INV_3708.jpg",exports\louvre\recognition_assets\cache\cl010059215.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Portrait of Madame Récamier,INV 3708,"Juliette Récamier, née Bernard - Jacques-Louis David - Musée duLouvre Peintures INV 3708.jpg",False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.5294,0.3125
cl010059373,Médée furieuse,"Delacroix, Eugène",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Eug%C3%A8ne_Delacroix_-_Medea_about_to_Kill_her_Children_-_Mus%C3%A9e_du_Louvre.jpg,Q5573243,Eugène_Delacroix_-_Medea_about_to_Kill_her_Children_-_Musée_du_Louvre.jpg,exports\louvre\recognition_assets\cache\cl010059373.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Medea about to Kill her Children,RF 1402,Eugène Delacroix - Medea about to Kill her Children - Musée du Louvre.jpg,False,insufficient strong identity evidence,UNRESOLVED,0.1538,0.0
cl010104474,Plaque : Cérès et Psyché,"Limosin, Léonard",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:C%C3%A9r%C3%A8s_et_Psych%C3%A9_-_L%C3%A9onard_Limosin_-_Mus%C3%A9e_du_Louvre_Objets_d%27art_R_282.jpg,Q123382657,Cérès_et_Psyché_-_Léonard_Limosin_-_Musée_du_Louvre_Objets_d'art_R_282.jpg,exports\louvre\recognition_assets\cache\cl010104474.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Cérès et Psyché,R 282,Cérès et Psyché - Léonard Limosin - Musée du Louvre Objets d'art R 282.jpg,False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.3333,0.2
cl010062290,"Portrait d'homme, dit L'Homme au gant","Titien (Tiziano Vecellio, dit Tiziano ou)",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Tizian_079.jpg,Q1848811,Tizian_079.jpg,exports\louvre\recognition_assets\cache\cl010062290.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Man with a Glove,INV 757;MR 507,Tizian 079.jpg,False,old P217 match lacks Louvre collection/location constraint; source title/filename/attribution disagree with catalog identity,QUARANTINED_MISMATCH,0.0,0.0
cl010062308,"Melchior Von Brauweiler (1514-1569), magistrat de Cologne","Calcar, Giovanni (Jan Stephan Calcar, dit)",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Calcar,_Giovanni_(dit_Jan_Stephan_Calcar)_%E2%80%93_Melchior_Von_Brauweiler,_magistrat_de_Cologne_%E2%80%93_D%C3%A9partement_des_Peintures,_Louvre.jpg",Q18573211,"Calcar,_Giovanni_(dit_Jan_Stephan_Calcar)_–_Melchior_Von_Brauweiler,_magistrat_de_Cologne_–_Département_des_Peintures,_Louvre.jpg",exports\louvre\recognition_assets\cache\cl010062308.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Portrait of Melchior von Brauweiler,INV 134;MR 497,"Calcar, Giovanni (dit Jan Stephan Calcar) – Melchior Von Brauweiler, magistrat de Cologne – Département des Peintures, Louvre.jpg",False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.6875,0.3333
cl010066647,Ecce Homo,"Titien (Tiziano Vecellio, dit Tiziano ou)",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Ecce_homo_-_Titien_-_Q18573224.jpg,Q18573224,Ecce_homo_-_Titien_-_Q18573224.jpg,exports\louvre\recognition_assets\cache\cl010066647.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Ecce Homo,INV 747;MR 522,Ecce homo - Titien - Q18573224.jpg,False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.3,0.5
cl010091989,Nymphe de la chasse,"Coustou, Nicolas",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Nymphe_de_la_chasse,_dite_aussi_Nymphe_au_carquois_-_Nicolas_Coustou_-_Mus%C3%A9e_du_Louvre_Sculptures_MR_1799.jpg",Q87457745,"Nymphe_de_la_chasse,_dite_aussi_Nymphe_au_carquois_-_Nicolas_Coustou_-_Musée_du_Louvre_Sculptures_MR_1799.jpg",exports\louvre\recognition_assets\cache\cl010091989.jpg,APPROVED,CC0,wikidata_p217_inventory_exact,Nymphe de la chasse,MR 1799,"Nymphe de la chasse, dite aussi Nymphe au carquois - Nicolas Coustou - Musée du Louvre Sculptures MR 1799.jpg",False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.2941,0.2
cl010091111,Compagne de Diane,"Poultier, Jean Baptiste",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Compagne_de_Diane_(Louvre,_ENT_2005.5).jpg",Q138927375,"Compagne_de_Diane_(Louvre,_ENT_2005.5).jpg",exports\louvre\recognition_assets\cache\cl010091111.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Compagne de Diane,ENT 2005.05,"Compagne de Diane (Louvre, ENT 2005.5).jpg",False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.125,0.4
cl010060616,La Messe pontificale,"Le Nain, Antoine",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Le_Nain_(attribu%C3%A9)_-_UN_EVEQUE_MONTANT_A_L%27AUTEL,_DIT_LA_PROCESSION,_INV_6841.jpg",Q29847281,"Le_Nain_(attribué)_-_UN_EVEQUE_MONTANT_A_L'AUTEL,_DIT_LA_PROCESSION,_INV_6841.jpg",exports\louvre\recognition_assets\cache\cl010060616.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Un évêque montant à l'autel,INV 6841;MR 1996,"Le Nain (attribué) - UN EVEQUE MONTANT A L'AUTEL, DIT LA PROCESSION, INV 6841.jpg",False,old P217 match lacks Louvre collection/location constraint; source title/filename/attribution disagree with catalog identity,QUARANTINED_MISMATCH,0.0714,0.0
cl010060811,Canal (ou rivière?) gelé avec patineurs et joueurs de hoquet,"Velde, Adriaen van de",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Adriaen_van_de_Velde_-_Frozen_Canal_with_Skaters_and_Hockey_Players_-_WGA24483.jpg,Q29655614,Adriaen_van_de_Velde_-_Frozen_Canal_with_Skaters_and_Hockey_Players_-_WGA24483.jpg,exports\louvre\recognition_assets\cache\cl010060811.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Frozen Canal with Skaters and Hockey Players,INV 1920;MR 1079,Adriaen van de Velde - Frozen Canal with Skaters and Hockey Players - WGA24483.jpg,False,insufficient strong identity evidence,UNRESOLVED,0.2353,0.0667
cl010061685,"Fleurs dans une carafe de cristal, avec une branche de pois et un escargot","Mignon, Abraham",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Abraham_Mignon_-_Flowers_in_a_glass_vase_on_a_stone_ledge.jpeg,Q29647933,Abraham_Mignon_-_Flowers_in_a_glass_vase_on_a_stone_ledge.jpeg,exports\louvre\recognition_assets\cache\cl010061685.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Flowers in a glass vase on a stone ledge,INV 1555;MR 868,Abraham Mignon - Flowers in a glass vase on a stone ledge.jpeg,False,insufficient strong identity evidence,UNRESOLVED,0.1176,0.0
cl010061942,"Portrait présumé de Claes Jobsz. Coster (1581-1605), fils de Job C. Coster","Pietersz, Pieter",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Toegeschreven_aan_Pieter_Pietersz._(I)_-_Portret_van_Claes_Chijs_(1581-1605),_zoon_van_Job_Cornelisz._Coster_en_Maria_Claesdr._Chijs_-_MNR_447_-_Munich_Central_Collecting_Point.jpg",Q60448409,"Toegeschreven_aan_Pieter_Pietersz._(I)_-_Portret_van_Claes_Chijs_(1581-1605),_zoon_van_Job_Cornelisz._Coster_en_Maria_Claesdr._Chijs_-_MNR_447_-_Munich_Central_Collecting_Point.jpg",exports\louvre\recognition_assets\cache\cl010061942.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Portrait of Willem Roels,1836;4576;MNR 447,"Toegeschreven aan Pieter Pietersz. (I) - Portret van Claes Chijs (1581-1605), zoon van Job Cornelisz. Coster en Maria Claesdr. Chijs - MNR 447 - Munich Central Collecting Point.jpg",False,insufficient strong identity evidence,UNRESOLVED,0.2581,0.2143
cl010062314,Salmacis et Hermaphrodite,"Albani, Francesco",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Hermaphroditus_Salmacis_Albani_Louvre_INV19.jpg,Q18572450,Hermaphroditus_Salmacis_Albani_Louvre_INV19.jpg,exports\louvre\recognition_assets\cache\cl010062314.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Salmacis and Hermaphroditus,INV 19;MR 8,Hermaphroditus Salmacis Albani Louvre INV19.jpg,False,insufficient strong identity evidence,UNRESOLVED,0.1429,0.1667
cl010064061,Enterrement maure,"Fromentin, Eugène",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Fran%C3%A7oise_Foliot_-_Eug%C3%A8ne_Fromentin_-_Enterrement_maure.jpg,Q29855815,Françoise_Foliot_-_Eugène_Fromentin_-_Enterrement_maure.jpg,exports\louvre\recognition_assets\cache\cl010064061.jpg,APPROVED,CC BY-SA 4.0,wikidata_p217_inventory_exact,Enterrement maure,RF 1700,Françoise Foliot - Eugène Fromentin - Enterrement maure.jpg,False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.5,0.3333
cl010064296,Bateaux par grand vent,"Everdingen, Allaert van",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Allaert_van_Everdingen_-_Boten_bij_harde_wind_(Louvre).jpg,Q29656348,Allaert_van_Everdingen_-_Boten_bij_harde_wind_(Louvre).jpg,exports\louvre\recognition_assets\cache\cl010064296.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Boats in high winds,RF 3704,Allaert van Everdingen - Boten bij harde wind (Louvre).jpg,False,insufficient strong identity evidence,UNRESOLVED,0.1765,0.0
cl010065607,"Gaucher de Châtillon (1250-1328), connétable de France","Vouet, Simon",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Simon_Vouet_-_Gaucher_de_Ch%C3%A2tillon,_Conn%C3%A9table_-_WGA25364.jpg",Q19820132,"Simon_Vouet_-_Gaucher_de_Châtillon,_Connétable_-_WGA25364.jpg",exports\louvre\recognition_assets\cache\cl010065607.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Gaucher de Châtillon,RF 1937 119;RF 1937-119,"Simon Vouet - Gaucher de Châtillon, Connétable - WGA25364.jpg",False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.4545,0.3333
cl010066247,Solon,"Gand, Juste de",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Giusto_di_gand_e_pedro_berruguete,_uomini_illustri_dallo_studiolo_di_federico_da_montefeltro_a_urbino,_1473-76_ca.,_02_solone.JPG",Q29648031,"Giusto_di_gand_e_pedro_berruguete,_uomini_illustri_dallo_studiolo_di_federico_da_montefeltro_a_urbino,_1473-76_ca.,_02_solone.JPG",exports\louvre\recognition_assets\cache\cl010066247.jpg,APPROVED,CC BY-SA 3.0,wikidata_p217_inventory_exact,Solon,MI 653,"Giusto di gand e pedro berruguete, uomini illustri dallo studiolo di federico da montefeltro a urbino, 1473-76 ca., 02 solone.JPG",False,insufficient strong identity evidence,UNRESOLVED,0.1111,0.0714
cl010093006,"Daniel, un prophète et Isaïe",France,,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Retable_de_Maubuisson_-_Daniel,_un_proph%C3%A8te_et_Isa%C3%AFe_(Louvre,_RF_476_B).jpg",Q87453559,"Retable_de_Maubuisson_-_Daniel,_un_prophète_et_Isaïe_(Louvre,_RF_476_B).jpg",exports\louvre\recognition_assets\cache\cl010093006.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Trois Prophètes portant des phylactères,RF 476 B,"Retable de Maubuisson - Daniel, un prophète et Isaïe (Louvre, RF 476 B).jpg",False,insufficient strong identity evidence,UNRESOLVED,0.15,0.2727
cl010093761,Denis Diderot (1713-1784) écrivain,France,,wikimedia_commons,https://commons.wikimedia.org/wiki/File:S%C3%A3o_Jorge_e_o_Drag%C3%A3o_DELACROIX_1847.jpg,Q29857799,São_Jorge_e_o_Dragão_DELACROIX_1847.jpg,exports\louvre\recognition_assets\cache\cl010093761.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Saint George fighting the dragon,RF 1396,São Jorge e o Dragão DELACROIX 1847.jpg,False,old P217 match lacks Louvre collection/location constraint; source title/filename/attribution disagree with catalog identity,QUARANTINED_MISMATCH,0.0,0.0
cl010094241,Tête d'apôtre,"Beauneveu, André",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Edgar_degas,_ballerine_che_salgono_una_scala,_1886-90.JPG",Q17491199,"Edgar_degas,_ballerine_che_salgono_una_scala,_1886-90.JPG",exports\louvre\recognition_assets\cache\cl010094241.jpg,APPROVED,CC BY 3.0,wikidata_p217_inventory_exact,Danseuses montant un escalier,RF 1979,"Edgar degas, ballerine che salgono una scala, 1886-90.JPG",False,old P217 match lacks Louvre collection/location constraint; source title/filename/attribution disagree with catalog identity,QUARANTINED_MISMATCH,0.0,0.0
cl010096757,Plaque : Neptune et Doris,"Limosin, Léonard",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Le_Tribut_de_C%C3%A9sar,_par_Valentin_de_Boulogne.jpg",Q115669493,"Le_Tribut_de_César,_par_Valentin_de_Boulogne.jpg",exports\louvre\recognition_assets\cache\cl010096757.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Le Tribut de César,INV 8247;MR 2543;MV 7317,"Le Tribut de César, par Valentin de Boulogne.jpg",False,old P217 match lacks Louvre collection/location constraint; source title/filename/attribution disagree with catalog identity,QUARANTINED_MISMATCH,0.0,0.0
cl010059117,Le Port de Dragør (Danemark),"Eckersberg, Christoffer Wilhem",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Christoffer_Wilhelm_Eckersberg_-_Havnen_i_Drag%C3%B8r_-_1825.png,Q27431264,Christoffer_Wilhelm_Eckersberg_-_Havnen_i_Dragør_-_1825.png,exports\louvre\recognition_assets\cache\cl010059117.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,"The Port of Dragør, Denmark",RF 1980 45;RF 1980-45,Christoffer Wilhelm Eckersberg - Havnen i Dragør - 1825.png,False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.3333,0.2222
